trip_id,driver_id,date,duration_min,distance_km,fare,pickup_location,dropoff_location,earnings_velocity,motion_events_count,audio_events_count,flagged_moments_count,max_severity,stress_score,trip_quality_rating
TRIP001,DRV107,2024-02-06,18,8.2,145,Andheri West,BKC,483.33,6,3,8,high,0.59,poor
TRIP002,DRV188,2024-02-06,23,12.4,220,BKC,Lower Parel,573.91,11,9,12,high,0.74,poor
TRIP003,DRV003,2024-02-06,23,9.8,175,Worli,Bandra,456.52,2,3,3,medium,0.7,poor
TRIP004,DRV210,2024-02-06,24,11.2,198,Bandra,Powai,495.0,3,2,4,low,0.56,fair
TRIP005,DRV206,2024-02-06,27,14.5,258,Powai,Goregaon,573.33,3,2,4,medium,0.58,fair
TRIP006,DRV077,2024-02-06,23,10.1,182,Goregaon,Andheri,474.78,3,5,4,medium,0.66,poor
TRIP007,DRV095,2024-02-06,27,13.8,245,Andheri,Malad,544.44,3,1,3,low,0.51,fair
TRIP008,DRV050,2024-02-06,28,15.2,312,Whitefield,Indiranagar,668.57,6,3,7,high,0.56,poor
TRIP009,DRV070,2024-02-06,27,12.8,268,Indiranagar,Koramangala,595.56,4,3,6,high,0.61,poor
TRIP010,DRV145,2024-02-06,30,16.5,345,Koramangala,Electronic City,690.0,13,16,13,high,0.85,poor
TRIP011,DRV112,2024-02-06,32,18.7,385,Dwarka,Connaught Place,721.88,3,2,4,high,0.68,poor
TRIP012,DRV042,2024-02-06,28,14.2,295,CP,Gurgaon Cyber City,632.14,6,3,7,medium,0.67,poor
TRIP013,DRV096,2024-02-06,37,22.5,468,Cyber City,South Delhi,758.92,4,4,8,high,0.56,poor
TRIP014,DRV032,2024-02-06,22,9.5,168,Kharadi,Viman Nagar,458.18,6,1,7,medium,0.48,fair
TRIP015,DRV111,2024-02-06,28,13.2,235,Viman Nagar,Hinjewadi,503.57,1,5,5,high,0.67,poor
TRIP016,DRV067,2024-02-06,28,12.8,228,Banjara Hills,Hitec City,488.57,4,2,4,medium,0.64,poor
TRIP017,DRV144,2024-02-06,33,16.2,318,Hitec City,Secunderabad,578.18,4,4,5,medium,0.54,fair
TRIP018,DRV161,2024-02-06,32,14.5,298,Colaba,Andheri,558.75,4,3,7,medium,0.53,fair
TRIP019,DRV045,2024-02-06,33,15.8,335,Andheri,BKC,609.09,3,2,5,high,0.53,poor
TRIP020,DRV157,2024-02-06,28,13.2,245,HSR Layout,Whitefield,525.0,4,1,5,low,0.48,fair
TRIP021,DRV142,2024-02-06,32,13.5,156,Secunderabad,Jayanagar,292.5,7,4,9,medium,0.68,poor
TRIP022,DRV048,2024-02-06,27,18.6,224,Bandra,Indiranagar,497.78,7,2,7,medium,0.74,poor
TRIP023,DRV091,2024-02-06,30,13.8,196,South Delhi,Secunderabad,392.0,3,3,5,medium,0.53,fair
TRIP024,DRV189,2024-02-06,35,16.2,432,Viman Nagar,Powai,740.57,6,3,7,medium,0.61,poor
TRIP025,DRV188,2024-02-06,34,8.7,274,Dwarka,Banjara Hills,483.53,5,1,6,high,0.51,poor
TRIP026,DRV024,2024-02-06,29,17.2,285,Andheri West,Hinjewadi,589.66,6,4,8,medium,0.62,poor
TRIP027,DRV136,2024-02-06,19,9.5,327,HSR Layout,Hinjewadi,1032.63,4,1,4,medium,0.56,fair
TRIP028,DRV189,2024-02-06,18,17.2,314,Connaught Place,Electronic City,1046.67,4,2,6,high,0.54,poor
TRIP029,DRV106,2024-02-06,29,12.9,168,Malad,Hitec City,347.59,2,2,3,medium,0.56,fair
TRIP030,DRV150,2024-02-06,27,15.1,173,Worli,Koramangala,384.44,4,2,6,medium,0.48,fair
TRIP031,DRV130,2024-02-06,23,8.2,306,Secunderabad,Connaught Place,798.26,0,0,0,none,0.09,excellent
TRIP032,DRV043,2024-02-06,36,14.2,355,Colaba,South Delhi,591.67,0,0,0,none,0.06,excellent
TRIP033,DRV038,2024-02-06,36,8.3,302,Dwarka,Koramangala,503.33,0,0,0,none,0.08,excellent
TRIP034,DRV053,2024-02-06,36,9.2,390,Secunderabad,Goregaon,650.0,0,0,0,none,0.04,excellent
TRIP035,DRV185,2024-02-06,28,14.0,313,Indiranagar,Electronic City,670.71,0,0,0,none,0.06,excellent
TRIP036,DRV020,2024-02-06,31,10.4,178,Viman Nagar,Goregaon,344.52,0,0,0,none,0.11,excellent
TRIP037,DRV049,2024-02-06,27,11.2,292,Dwarka,Marathahalli,648.89,0,0,0,none,0.1,excellent
TRIP038,DRV088,2024-02-06,25,15.5,187,Hinjewadi,Worli,448.8,0,0,0,none,0.06,excellent
TRIP039,DRV083,2024-02-06,36,12.0,174,Kharadi,South Delhi,290.0,0,0,0,none,0.05,excellent
TRIP040,DRV007,2024-02-06,31,10.5,179,Indiranagar,Kharadi,346.45,0,0,0,none,0.09,excellent
TRIP041,DRV118,2024-02-06,27,13.2,416,Connaught Place,Dwarka,924.44,0,0,0,none,0.07,excellent
TRIP042,DRV087,2024-02-06,26,15.5,372,Viman Nagar,Powai,858.46,0,0,0,none,0.1,excellent
TRIP043,DRV007,2024-02-06,18,15.5,404,Hinjewadi,South Delhi,1346.67,0,0,0,none,0.04,excellent
TRIP044,DRV131,2024-02-06,24,15.9,379,Hitec City,Viman Nagar,947.5,0,0,0,none,0.12,excellent
TRIP045,DRV177,2024-02-06,37,18.2,362,HSR Layout,Hitec City,587.03,0,0,0,none,0.09,excellent
TRIP046,DRV191,2024-02-06,19,14.3,326,Malad,Bandra,1029.47,0,0,0,none,0.07,excellent
TRIP047,DRV107,2024-02-06,27,18.1,350,CP,Lower Parel,777.78,0,0,0,none,0.06,excellent
TRIP048,DRV001,2024-02-06,38,10.4,351,Indiranagar,Hitec City,554.21,0,0,0,none,0.03,excellent
TRIP049,DRV002,2024-02-06,23,11.1,447,Malad,Worli,1166.09,0,0,0,none,0.05,excellent
TRIP050,DRV170,2024-02-06,22,10.3,265,Indiranagar,Gurgaon Cyber City,722.73,0,0,0,none,0.06,excellent
TRIP051,DRV042,2024-02-06,33,14.7,363,BKC,Goregaon,660.0,0,0,0,none,0.06,excellent
TRIP052,DRV198,2024-02-06,23,11.3,154,Marathahalli,Whitefield,401.74,0,0,0,none,0.1,excellent
TRIP053,DRV149,2024-02-06,35,10.1,161,South Delhi,Marathahalli,276.0,0,0,0,none,0.07,excellent
TRIP054,DRV046,2024-02-06,18,8.7,182,Indiranagar,Lower Parel,606.67,0,0,0,none,0.07,excellent
TRIP055,DRV074,2024-02-06,31,18.8,186,CP,HSR Layout,360.0,0,0,0,none,0.04,excellent
TRIP056,DRV026,2024-02-06,22,10.8,432,Worli,Kharadi,1178.18,0,0,0,none,0.04,excellent
TRIP057,DRV168,2024-02-06,36,19.4,408,Lower Parel,Malad,680.0,0,0,0,none,0.08,excellent
TRIP058,DRV107,2024-02-06,37,9.5,300,Hinjewadi,HSR Layout,486.49,0,0,0,none,0.11,excellent
TRIP059,DRV028,2024-02-06,30,17.7,260,Goregaon,Bandra,520.0,0,0,0,none,0.07,excellent
TRIP060,DRV175,2024-02-06,21,10.1,280,Whitefield,Hinjewadi,800.0,0,0,0,none,0.09,excellent
TRIP061,DRV148,2024-02-06,19,13.9,331,Worli,Koramangala,1045.26,0,0,0,none,0.07,excellent
TRIP062,DRV047,2024-02-06,35,13.1,266,Marathahalli,Bandra,456.0,0,0,0,none,0.09,excellent
TRIP063,DRV189,2024-02-06,29,13.7,328,Andheri West,Hitec City,678.62,0,0,0,none,0.04,excellent
TRIP064,DRV097,2024-02-06,37,8.4,167,Marathahalli,Secunderabad,270.81,0,0,0,none,0.11,excellent
TRIP065,DRV060,2024-02-06,25,11.0,336,Colaba,Electronic City,806.4,0,0,0,none,0.05,excellent
TRIP066,DRV135,2024-02-06,21,14.4,261,Dwarka,Andheri West,745.71,0,0,0,none,0.07,excellent
TRIP067,DRV153,2024-02-06,30,19.1,270,CP,Jayanagar,540.0,0,0,0,none,0.03,excellent
TRIP068,DRV182,2024-02-06,25,11.6,222,Hitec City,Koramangala,532.8,0,0,0,none,0.07,excellent
TRIP069,DRV085,2024-02-06,38,12.9,157,Lower Parel,CP,247.89,0,0,0,none,0.11,excellent
TRIP070,DRV207,2024-02-06,33,13.7,351,Koramangala,Colaba,638.18,0,0,0,none,0.1,excellent
TRIP071,DRV011,2024-02-06,31,18.5,191,Colaba,Whitefield,369.68,0,0,0,none,0.11,excellent
TRIP072,DRV060,2024-02-06,34,8.8,355,CP,Viman Nagar,626.47,0,0,0,none,0.1,excellent
TRIP073,DRV031,2024-02-06,28,13.4,154,Hitec City,Powai,330.0,0,0,0,none,0.08,excellent
TRIP074,DRV128,2024-02-06,38,13.3,209,Goregaon,Hitec City,330.0,0,0,0,none,0.07,excellent
TRIP075,DRV056,2024-02-06,27,11.8,182,Malad,Kharadi,404.44,0,0,0,none,0.06,excellent
TRIP076,DRV189,2024-02-06,38,17.2,444,Marathahalli,Koramangala,701.05,0,0,0,none,0.04,excellent
TRIP077,DRV206,2024-02-06,32,13.7,208,Secunderabad,Hinjewadi,390.0,0,0,0,none,0.12,excellent
TRIP078,DRV194,2024-02-06,28,17.6,241,Electronic City,Powai,516.43,0,0,0,none,0.1,excellent
TRIP079,DRV143,2024-02-06,30,18.5,432,Andheri West,Viman Nagar,864.0,0,0,0,none,0.12,excellent
TRIP080,DRV172,2024-02-06,38,15.3,257,Gurgaon Cyber City,Goregaon,405.79,0,0,0,none,0.12,excellent
TRIP081,DRV048,2024-02-06,26,16.4,226,Banjara Hills,Connaught Place,521.54,0,0,0,none,0.05,excellent
TRIP082,DRV066,2024-02-06,37,11.1,185,Powai,Hinjewadi,300.0,0,0,0,none,0.07,excellent
TRIP083,DRV151,2024-02-06,21,8.2,409,Gurgaon Cyber City,CP,1168.57,0,0,0,none,0.08,excellent
TRIP084,DRV112,2024-02-06,33,9.4,244,CP,Marathahalli,443.64,0,0,0,none,0.1,excellent
TRIP085,DRV133,2024-02-06,26,11.5,393,Connaught Place,Goregaon,906.92,0,0,0,none,0.09,excellent
TRIP086,DRV034,2024-02-06,37,10.6,284,Goregaon,Connaught Place,460.54,0,0,0,none,0.06,excellent
