flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context,date,trip_start
FLAG001,TRIP001,DRV107,2024-02-06 07:02:30,1050,moderate_brake,low,0.48,0.18,0.29,Moderate Brake detected (2.4 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,06:45:00
FLAG002,TRIP001,DRV107,2024-02-06 07:04:49,1189,harsh_braking,low,0.42,0.18,0.25,Harsh Braking detected (3.0 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,06:45:00
FLAG003,TRIP001,DRV107,2024-02-06 06:58:48,828,harsh_braking,low,0.4,0.7,0.54,Combined signal: Harsh Braking (2.8 m/s²) + elevated cabin audio (70 dB). Traffic conditions.,Motion: harsh_braking | Audio: loud,2024-02-06,06:45:00
FLAG004,TRIP001,DRV107,2024-02-06 06:57:48,768,moderate_brake,low,0.4,0.18,0.24,Moderate Brake detected (2.0 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,06:45:00
FLAG005,TRIP001,DRV107,2024-02-06 06:46:40,100,harsh_braking,low,0.44,0.18,0.26,Harsh Braking detected (3.1 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,06:45:00
FLAG006,TRIP001,DRV107,2024-02-06 07:00:42,942,harsh_braking,medium,0.44,0.7,0.56,Combined signal: Harsh Braking (3.1 m/s²) + elevated cabin audio (70 dB). Traffic conditions.,Motion: harsh_braking | Audio: loud,2024-02-06,06:45:00
FLAG007,TRIP002,DRV188,2024-02-06 07:22:00,420,conflict_moment,high,0.75,0.95,0.84,Combined signal: Harsh Braking (5.2 m/s²) + elevated cabin audio (95 dB). Potential passenger conflict.,Motion: harsh_braking | Audio: argument,2024-02-06,07:15:00
FLAG008,TRIP002,DRV188,2024-02-06 07:22:30,450,conflict_moment,high,0.95,0.95,0.95,Combined signal: Harsh Braking (7.2 m/s²) + elevated cabin audio (95 dB). Potential passenger conflict.,Motion: harsh_braking | Audio: argument,2024-02-06,07:15:00
FLAG009,TRIP002,DRV188,2024-02-06 07:23:00,480,conflict_moment,high,0.95,0.95,0.95,Combined signal: Harsh Braking (8.0 m/s²) + elevated cabin audio (95 dB). Potential passenger conflict.,Motion: harsh_braking | Audio: argument,2024-02-06,07:15:00
FLAG010,TRIP002,DRV188,2024-02-06 07:23:30,510,conflict_moment,high,0.68,0.95,0.8,Combined signal: Harsh Braking (4.8 m/s²) + elevated cabin audio (95 dB). Potential passenger conflict.,Motion: harsh_braking | Audio: argument,2024-02-06,07:15:00
FLAG011,TRIP002,DRV188,2024-02-06 07:24:00,540,harsh_braking,medium,0.37,0.95,0.63,Combined signal: Harsh Braking (2.6 m/s²) + elevated cabin audio (95 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,07:15:00
FLAG012,TRIP002,DRV188,2024-02-06 07:37:30,1350,moderate_brake,low,0.43,0.18,0.26,Moderate Brake detected (2.2 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,07:15:00
FLAG013,TRIP002,DRV188,2024-02-06 07:17:43,163,harsh_braking,low,0.44,0.18,0.26,Harsh Braking detected (3.1 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,07:15:00
FLAG014,TRIP002,DRV188,2024-02-06 07:23:00,480,harsh_braking,medium,0.39,0.95,0.64,Combined signal: Harsh Braking (2.7 m/s²) + elevated cabin audio (95 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,07:15:00
FLAG015,TRIP002,DRV188,2024-02-06 07:34:16,1156,moderate_brake,low,0.37,0.18,0.22,Moderate Brake detected (1.8 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,07:15:00
FLAG016,TRIP002,DRV188,2024-02-06 07:15:15,15,moderate_brake,low,0.4,0.18,0.24,Moderate Brake detected (2.0 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,07:15:00
FLAG017,TRIP002,DRV188,2024-02-06 07:37:00,1320,harsh_braking,low,0.44,0.18,0.26,Harsh Braking detected (3.1 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,07:15:00
FLAG018,TRIP003,DRV003,2024-02-06 08:14:30,1350,moderate_brake,medium,0.38,0.8,0.57,Combined signal: Moderate Brake (1.9 m/s²) + elevated cabin audio (90 dB). Traffic conditions.,Motion: moderate_brake | Audio: loud,2024-02-06,07:52:00
FLAG019,TRIP003,DRV003,2024-02-06 07:55:07,187,moderate_brake,medium,0.47,0.91,0.67,Combined signal: Moderate Brake (2.4 m/s²) + elevated cabin audio (91 dB). Traffic conditions.,Motion: moderate_brake | Audio: very_loud,2024-02-06,07:52:00
FLAG020,TRIP004,DRV210,2024-02-06 08:43:56,956,harsh_braking,low,0.37,0.71,0.52,Combined signal: Harsh Braking (2.6 m/s²) + elevated cabin audio (71 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,08:28:00
FLAG021,TRIP004,DRV210,2024-02-06 08:32:31,271,harsh_braking,low,0.48,0.18,0.29,Harsh Braking detected (3.3 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,08:28:00
FLAG022,TRIP004,DRV210,2024-02-06 08:46:17,1097,harsh_braking,low,0.46,0.18,0.28,Harsh Braking detected (3.2 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,08:28:00
FLAG023,TRIP005,DRV206,2024-02-06 09:44:22,1762,moderate_brake,medium,0.46,0.85,0.64,Combined signal: Moderate Brake (2.3 m/s²) + elevated cabin audio (85 dB). Traffic conditions.,Motion: moderate_brake | Audio: argument,2024-02-06,09:15:00
FLAG024,TRIP005,DRV206,2024-02-06 09:34:15,1155,harsh_braking,low,0.42,0.18,0.25,Harsh Braking detected (3.0 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,09:15:00
FLAG025,TRIP005,DRV206,2024-02-06 09:32:19,1039,harsh_braking,low,0.41,0.18,0.25,Harsh Braking detected (2.9 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,09:15:00
FLAG026,TRIP006,DRV077,2024-02-06 10:20:31,931,moderate_brake,low,0.36,0.76,0.54,Combined signal: Moderate Brake (1.8 m/s²) + elevated cabin audio (76 dB). Traffic conditions.,Motion: moderate_brake | Audio: loud,2024-02-06,10:05:00
FLAG027,TRIP006,DRV077,2024-02-06 10:08:54,234,moderate_brake,low,0.49,0.18,0.29,Moderate Brake detected (2.4 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,10:05:00
FLAG028,TRIP006,DRV077,2024-02-06 10:24:22,1162,harsh_braking,medium,0.36,0.9,0.6,Combined signal: Harsh Braking (2.5 m/s²) + elevated cabin audio (90 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,10:05:00
